customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
9522d39cabd497bd4bc5fb1b226cd5cf,774efd8e5cc822162e0af7311d81f5c1,73780,agua fria de goias,GO
3d14ef1b615443e8569574ccf4c70ffb,57d2e3a4c3b277bea367027f105f1c02,83209,paranagua,PR
cf72b318eb9cd0e7712a2c1bca227789,d647ac91ff870deee189d7cd0cbf2380,09530,sao caetano do sul,SP
066a9e746ce5eead40d2afa9bccd3d7d,227dee340139e8c2f57bf05bcb1246f8,04171,sao paulo,SP
8ebee0cc741eb27e8501e4b4e3c6422d,8e990907b56d2383d3a39bf0cf9a3f42,65067,sao luis,MA
0266506e68e7eac1c7f726da057c28a9,3341514b8049f4a268e4188fb0211d34,03127,sao paulo,SP
08a761b27ad72e5fa65e351ca23bb2f5,620b267bdbb662197c42079245841d2a,13013,campinas,SP
67372e0bce729cebb559886b6c4d9e2e,c9fff85f2617b8e1a78142aa11ee962f,16057,aracatuba,SP
e4a1289920c7a33574e0433abd5b90d7,24cd37bf2e8fad096bc0b807541311db,90480,porto alegre,RS
bab91c3c25a207c83b5c95392df95163,7d5c4bcaf5e9ce14f2ac132ed39b1bb2,05890,sao paulo,SP
db1f2c9256482f22307b39827a99f732,aa591348866497ba6bf83de62e4f8813,75400,inhumas,GO
896aac6741f1b66d32a3ef9a02617e90,233c8f191c45cef30af148a82ac70020,22441,rio de janeiro,RJ
fb611ba8817096ba3bdc1d9807f5cdac,2faeae5eaf2e2e108f1473280bf919f8,25620,petropolis,RJ
1cd146c5b0b02ca65ae036c0dfcc2f3f,f570a5be59e27679024a0ff2cdf0fdf3,04569,sao paulo,SP
abda0fc72e1f8c32dd8291c542e273c5,7b6cf676f9a88c5559a3d881a35f8a70,32310,contagem,MG
279b18bebb145265c6490f1de02cd947,2ad33e0c71ed7c9e41a44e185ae05581,04917,sao paulo,SP
5c2bab9a09604f016d9ccd13242db649,b849f49416bd94ee6b0a4d36fce5b3a6,21021,rio de janeiro,RJ
fda9a2bf4f0b8d64bf713e261189a2bc,78eedca806b2985523d1629c15738a16,07411,aruja,SP
1de5dc5b831942a9161baef126e93870,d68ed97669e9cee5b36211dbc592f4b4,19023,presidente prudente,SP
3663cf3c9fafa9cc511c4d990ea35326,e80f396188991ae350a0c187e8740e97,07032,guarulhos,SP
0c6ddd0fc46185e7fd0bb6d767bf4d36,daaa4bd4b2ac37cd00efc852878b626a,77360,parana,TO
86d7e0b2821894373d67a03352affdcb,146f4256a3f10b6522215a138d9ac678,90640,porto alegre,RS
6e1291c1d47555fbfbf4fcfbfc13fb17,4746c99fe8b7985f53cb6885c456defd,73360,brasilia,DF
3703dabac361c6249a0d8d21564fb925,edbd256c62af7487800128f3c7ac7e9b,05017,sao paulo,SP
417ba684f004a0a409878bbfe65cdf3b,767f4654c72d8b9de7c937321fe1b78b,36205,barbacena,MG
6b05139c22666edaab8363c643187ed1,cfaea24d4b0531636fba2b3f22f2c919,04960,sao paulo,SP
4428f44a71d4ed03fdaa62d4ed852f12,3aaafeb4d8f3e1c48c172b1894f711c8,06793,taboao da serra,SP
d2e258817e38dd6847a2dead3bbafc05,0a3ce869b8386af24386cb035ce6f2e9,05432,sao paulo,SP
be803b9fe5a431219ecfd15e355099a5,12655f5ad85082fdeebd425a6c97d420,02842,sao paulo,SP
e60d09530ea34dd2ad7a33d35bf73086,c7ca47747878996a42d992f15dcf023c,03386,sao paulo,SP
9f953bb4452203555445d713827f1465,f38e382731af9143e1321a49534c395d,71937,brasilia,DF
d32c1be9389b63d5e611ae874bf4403d,6d9284ebe2826c96d9be5d939fd7b1b2,24027,niteroi,RJ
c7f827df881d513428043f6c8153eb6b,bdfcfb95b8d3e5792240bbd5108a7096,75106,anapolis,GO
dd22f1d0142d9698c0848674e843525c,edcc7ce9b67e904a02c89576d13e1ada,01314,sao paulo,SP
5daf8a84ec87f4988b337626369c4dba,c02250fc9f9a3ef97113f4cc1da3a89d,73900,posse,GO
8aac7e3ddd515089585bbab2b7d85aa8,1d34beeda3b2d9a16c418c0d1419bdea,45710,itororo,BA
178e6ac2e067591cde169461107ac469,bf67bc97810b5410358114fa589ba7d1,87020,maringa,PR
af31beb9cb1ad7f0dd644d33b9e9ea44,1135e8dd0e81f7774a8d597380ea949f,31150,belo horizonte,MG
887b8a65e05f6ac52b0084002f88b30d,bde6157addccf5749c409e1333ecb108,13045,campinas,SP
7cba2705c01b76fa986e0efd815d3b09,d1188dec6bca7728f5fce5f9dc4239b2,13145,paulinia,SP
a539b9d6f9045415d847df7fd525d2bd,59ea36903f78d0d954b0fc11c6203542,22793,rio de janeiro,RJ
4f4ed20c56c49d645e19d6e63e37517e,a5e903dd1104eac0c60b4ae4f61256be,22790,rio de janeiro,RJ
aed3f1f445a4ea906938e139249662a9,d6bc0e1efd0d78e7ca81be2865110c6e,04820,sao paulo,SP
e25f3c0da7eeb0dd9bb46770cd17a61f,29cf32aa7e303f6d2bb67ccb6be7cac9,44082,feira de santana,BA
8d0705b3e380f94aacb2c36ecc0bd425,728c940d821dd0f5b9cb7d77cba38803,08431,sao paulo,SP
01214c5f31d06b6da030e5825b431446,9cd889bbd0b3e67db9d57ff266c44d53,04739,sao paulo,SP
458a7594568f442693c952daece0fd1f,fb3c2b037eb60ad2234266e7ba955715,03088,sao paulo,SP
725ba0268900143556050bd3513a3369,6c1a470cc3b59370f0c874af9d0959dc,37540,santa rita do sapucai,MG
67a6887d8952c16de0e49e6ad2d6e2a4,e1a3369d056da99d86a2a35b3eb18ac4,30580,belo horizonte,MG
ecbefacde17c98967b427a3a1f98880e,54a6ac9eafde53270240650b842f57ef,22735,rio de janeiro,RJ
4e364c106217fcf45f21a4db793866bb,b18983823f3259d8f50a36496ea84a8d,07990,francisco morato,SP
3b0841e521dffa992a8ef9e4e00b2c9e,caca4ee1e654062eeef97972b8e24807,95590,tramandai,RS
5add6659c12e55e5d6379c8ce5786512,a46ae738be98cfe3a3459bd915ceffc9,94935,cachoeirinha,RS
e19274edf7a9c51689822810be84c9e9,854c37b10f4e835f6bc91355c9a7346c,05772,sao paulo,SP
9d20953453325b0f8badf470f570f98c,186e4b97d2704e8b76235b8d7c5d38ab,06780,taboao da serra,SP
d6e011b818659fed8cfa433ec3bee9fe,d9ad1a4f3055a4d3cba840034166b1a1,13091,campinas,SP
98fb13b264449f06da6834b86e0693a8,f27ce86890789e9bc697ee9d66e13860,70673,brasilia,DF
05e8586e1ca488defddd47b5be9179c3,f053e082c3563fa331d4cd0c5d8ec177,18132,sao roque,SP
b31b5ecd79d2528b3340abb86f5c2a4d,a1f056aa9823bc1fb8206b00a9be412c,06160,osasco,SP
a7077f133d9d048e55dc77a59d97c83e,f175a16d4e5581676e72c0d321d9ff7e,84015,ponta grossa,PR
5b31d1ba9e2b08086f398b79477962d7,f11555b4396eaa69a4c0980aa3522648,78705,rondonopolis,MT
1c141ff3d234a4ea775feaf7d0024a59,cc8e5ca7b38506fa626340b3c84b6d89,87005,maringa,PR
1b353c00c71689afba44554e43cc5a76,83c6df0d47130de38c99cebe96521e8a,80220,curitiba,PR
54c424fd34699c65ea6d0c12a80e4a72,3c1c6073be5e02b8f2c564a71d6874f3,04205,sao paulo,SP
1373cf3dd7bd65ead85da26b09d4ac41,cca0adec0a3b226a6f181d73f4387aed,81490,curitiba,PR
1e46b29a43929d0f05b69dc61a3668aa,714ffea1de3f5bb655da5a3a8294cc87,24727,sao goncalo,RJ
ef019b3cc077faf03d999168daaf8d07,ac5c80edeb6db099ebffbf3e53ddcd69,09961,diadema,SP
33a3023585bff9c06044bdcd92c95b4b,2e87695ef69b7236c17c1f1e021ed36a,92500,guaiba,RS
5044e8b37438c40fd1ec142dfb1d6807,9140d8cf5d92b74fd35c00e69a94146f,24210,niteroi,RJ
3048281f246c7e5342d10ac837c5c8ee,58e217b3560092a2aeb535376685dc18,89610,herval d'oeste,SC
70f95a47532d0a1ffd3b15302f61a1bf,34b6869483f9c2ebecee59d3be7f6416,38401,uberlandia,MG
00c7e84c0c77753093b456d787638eed,d691abbc71f38f91d187deedeb200290,84172,castro,PR
10101c15aec095b6078c8dd047739392,38fbfbb8a36e56ac7f401e5fa76f6aac,91280,porto alegre,RS
7dd4ca386e9a4add580925c77a483225,f5fb94d6a90c9c055bc6ea6489471601,84345,ventania,PR
a6a0a62ce165053b536f84be26fd22c7,81173dfefc72d08cc9b859fa647edd0a,13874,sao joao da boa vista,SP
544e77a62037110df48c7f23d0a320e7,4d49ed305390ff5ecd6ead3bfbdbd6b2,18720,paranapanema,SP
4d547b17f5dc533970786de8f7233eab,d3efd0ae3bee9c35f302e336aef87b99,66040,belem,PA
3ea256d0100550636253563da3e913bc,8c7be63e191ee9f0045e3b61a4d44867,29102,vila velha,ES
994ce8a078d9b40c268787c6ff42d514,77ca9de303d71489cdd541c373319818,76980,vilhena,RO
b593c249903e4280399e991fdbe8d7a3,afdd204d84a80bf0269cd6a84eb8c274,27288,volta redonda,RJ
3413b1a3a719cf261ac926114e3d3da8,fe86ce129cfeddc53998ddc884d92a46,21920,rio de janeiro,RJ
229d046873d7452a773c42e0f35916f9,30cc7860f832668d8fee80418948428f,13401,piracicaba,SP
7b795a9df1fb7368c9c00514370d5c4f,45d7843cd73eb1cdd0af569b6b6e626e,13183,hortolandia,SP
