order_id,payment_sequential,payment_type,payment_installments,payment_value
243312dbb316253ab77bb0140d94803c,1,credit_card,10,285.79
92f4f749aa508d58dee50d9ccdb6c9dd,1,credit_card,3,62.31
f75517cfb973c21eab8559a870263794,1,credit_card,10,231.27
56430e0b9968b381942760e433583b27,1,debit_card,1,33.1
8ef3801f58da6b652a3082e1fa5b6589,1,credit_card,2,129.15
5662e7f8bbc6abe55e104ac06994a731,1,credit_card,3,57.69
09fd9b0402ed675bbd1ee1e81171ac7c,2,voucher,1,43.98
5fe9874b96028c851e35c1c28aede4c2,1,credit_card,3,167.77
38b80ac02e3ce34b306483fc57a33bc5,1,boleto,1,35.86
c6c17394464f987209982d3f1423f068,1,credit_card,10,139.8
778d960ed98fe278fca42ee20d002b1f,1,boleto,1,64.03
578daeebdebcc19bd2dcba1f6b06b3ce,1,credit_card,10,108.3
7b4cc813e327ec14c78f547a763f46b8,1,credit_card,3,399.35
8fad1f3654133d30218cd4b6fae827ee,1,credit_card,2,73.34
ece3ab91bd67ba73563dd0468fc3bde2,1,credit_card,2,244.27
cd3e9759dc483946db2133168746fddf,1,credit_card,2,185.57
20cae0a28869a4321d8fe372731f80e0,1,credit_card,1,85.8
b0200f320613faea21c999a90efa28ab,1,credit_card,1,69.93
e19a8635d806af6ae2d20b3de998b0c8,1,credit_card,1,120.08
51c064ec2d79d398b30db3f8e1de8ec8,1,boleto,1,38.63
f939e2a89376e44158657a15465cacce,1,boleto,1,308.61
e504f586e9ffc862cad95482af740af4,1,credit_card,3,89.25
12aab7cb25bc6ae86c66cb3e7dc35a76,1,credit_card,10,546.65
bb102364b6a29f9f8683f21e5825595a,1,credit_card,1,20.08
654236657c61378a35416f08170ff0ad,1,credit_card,1,81.68
67b50899f52995848c427e361e10dde3,1,credit_card,3,108.43
b4c45d4cc2a2e24e10d4e20bae928819,1,boleto,1,27.75
9eaec2635ebf99416ead21c62ef53f67,1,credit_card,3,65.0
cecccaa359491439461332bbb0dad3d5,1,credit_card,2,206.84
fb66173878dcc988e4e3e1151901b298,1,credit_card,1,127.92
7e4d4a50dc999bcf59d2e055db0f4b37,1,credit_card,7,79.56
80000ae9d118d79953522e35cce34f13,1,credit_card,2,121.72
825c221a4e981f278e9c5ec6ead83a3f,1,credit_card,4,87.44
ec34ce0f06a9a35ebf0f0496d595bc84,1,credit_card,1,126.68
3b9de7cf25713aac3ab7e5cc48d83983,1,credit_card,3,135.05
32733fc014b67ef70fa6039dd8c6ba82,1,boleto,1,256.05
fd22bd0610424ec9e62c1d98288b51e9,1,credit_card,4,45.86
76ae7f8d0104f4808d4a93f4b81661d7,1,credit_card,2,59.85
e68a0761535bd432bb847f4ae7b7b4c0,1,boleto,1,145.66
479715da59efdc67c1722f985a94d18c,1,voucher,1,42.0
3772bd82db6b988f9a7008bdb3a4b729,1,credit_card,4,116.94
99f10393ec3328b3b416a154afd5d714,1,credit_card,5,155.14
faa01b7a24d0ba51d0d0ec652cd9b745,1,boleto,1,69.13
e9977cc6d0f97447ef0f4fcc2e082fc8,1,credit_card,1,85.15
09fd9b0402ed675bbd1ee1e81171ac7c,1,credit_card,4,166.38
e317f41180b8a6fa3ce86b6fba6ac3fa,1,boleto,1,158.27
f05ef3ecdb7796d93e204c0a7ab76759,1,credit_card,8,264.59
