seller_id,seller_zip_code_prefix,seller_city,seller_state
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
b90e891671cffd9557f33a97dc523645,83010,sao jose dos pinhais,PR
a416b6a846a11724393025641d4edd5e,03702,sao paulo,SP
7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,MG
709e16e2b25c7474d980076c6bfc4806,16200,birigui,SP
8bb48dc19fccaa8613b6229bf7f452a2,19803,assis,SP
37be5a7c751166fbc5f8ccba4119e043,04248,sao paulo,SP
7b07b3c7487f0ea825fc6df75abd658b,02016,sao paulo,SP
4c498c7345e89aebad651544829beca0,06341,carapicuiba,SP
02f5837340d7eb4f653d676c7256523a,80620,curitiba,PR
229c3efbfb0ea2058de4ccdfbc3d784a,30190,belo horizonte,MG
fa40cc5b934574b62717c68f3d678b6d,02310,sao paulo,SP
aaed1309374718fdd995ee4c58c9dfcd,89120,timbo,SC
caa9bc43a9fe8cf9c564ddd8a03cc4a6,12308,jacarei,SP
7178f9f4dd81dcef02f62acdf8151e01,89560,videira,SC
3f995f07c49d0d55a99d5c54957f7d81,06853,itapecerica da serra,SP
d6b1ce66b035a475f00c017792ff9769,13327,salto,SP
ececbfcff9804a2d6b40f589df8eef2b,14407,franca,SP
7d13fca15225358621be4086e1eb0964,14050,ribeirao preto,SP
50c9975695009e5e6473912e83a6d1da,35530,claudio,MG
9f505651f4a6abe901a56cdc21508025,04102,sao paulo,SP
7142540dd4c91e2237acb7e911c4eba2,16301,penapolis,SP
a3a38f4affed601eb87a97788c949667,89204,joinville,SC
79ebd9a61bac3eaf882805ed4ecfa12a,85802,cascavel,PR
